age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,3,371,11,15,4,11,3,4,1,0,0,33,0,0
26,5,1030,11,15,2,2,0,4,1,0,0,8,37,0
11,3,1278,15,1,2,12,5,4,0,0,0,28,37,0
33,4,619,15,1,2,11,0,4,1,0,0,49,37,1
49,0,81,5,10,4,0,2,2,1,0,0,18,37,0
23,3,2663,8,2,0,13,1,4,1,0,0,39,37,1
50,3,2471,8,2,0,7,1,4,0,0,0,12,37,0
29,3,1777,4,9,2,2,5,4,0,0,0,33,21,0
47,3,927,1,13,2,2,0,4,1,0,32,28,37,0
17,3,2102,15,1,2,7,0,4,1,0,0,28,37,0
39,3,2170,15,1,0,3,1,4,0,0,25,28,37,0
18,0,2223,15,1,4,0,3,4,0,0,0,28,37,0
24,3,2629,11,15,0,2,1,4,1,0,0,28,37,0
45,3,375,11,15,2,11,0,4,1,0,0,4,37,0
25,3,177,9,4,0,9,4,4,0,0,0,3,37,0
21,3,1752,11,15,2,6,5,4,0,0,0,28,37,0
5,3,466,11,15,4,5,3,0,1,0,0,28,37,0
26,6,416,9,4,2,3,0,4,1,11,0,28,37,1
33,4,582,12,5,2,9,0,4,1,56,0,39,37,1
17,3,156,9,4,2,3,0,4,1,0,0,28,37,0
21,3,8,15,1,4,7,1,4,1,0,0,28,37,0
19,3,512,9,4,0,9,3,4,0,0,0,28,37,0
13,3,680,9,4,4,11,3,4,0,0,0,53,37,0
28,3,1507,11,15,0,5,1,4,1,0,0,39,37,0
25,3,1132,11,15,0,6,4,4,0,0,0,28,37,0
15,6,2407,15,1,2,9,5,2,0,0,0,28,37,0
40,2,446,9,4,0,3,1,4,1,0,0,28,37,0
37,3,2140,11,15,5,11,4,4,0,0,0,23,37,0
20,3,1359,15,1,0,6,1,4,1,0,0,41,37,0
24,3,436,15,1,0,12,4,2,0,0,0,24,37,0
27,3,558,11,15,4,7,4,4,1,0,0,28,37,0
40,4,271,14,6,2,9,0,1,1,11,0,39,18,1
25,5,254,11,15,2,2,0,4,1,0,0,12,37,0
29,1,1788,7,3,0,1,4,4,0,0,0,28,37,0
25,3,96,11,15,2,13,0,0,1,0,0,49,37,0
10,3,1494,15,1,4,2,1,4,1,0,0,33,37,0
31,3,21,8,2,2,12,0,4,1,0,0,39,37,1
6,3,260,9,4,4,1,3,4,0,0,0,18,37,0
12,3,1013,11,15,2,2,0,4,1,0,0,39,37,0
18,3,2226,9,4,2,9,5,4,0,56,0,61,0,1
20,6,2195,11,15,5,7,4,4,0,0,0,28,37,0
27,5,2639,2,14,2,3,0,1,1,0,0,49,38,0
17,4,313,9,4,0,4,1,4,1,0,0,49,37,0
36,3,452,11,15,2,6,0,4,1,0,0,26,37,0
9,3,1655,7,3,4,11,3,4,1,0,0,18,37,0
24,3,2634,9,4,2,7,0,1,1,0,0,18,38,0
15,3,2065,11,15,2,2,0,4,1,0,0,28,37,0
8,3,1959,15,1,2,13,0,4,1,0,0,23,37,0
13,5,787,5,10,4,2,3,4,1,0,0,28,37,0
38,3,1075,11,15,2,4,0,4,1,0,0,42,37,1
18,5,1117,12,5,2,11,0,1,1,0,0,28,0,1
20,3,1324,11,15,2,2,0,4,1,0,0,28,37,1
3,3,1499,15,1,4,1,3,4,0,0,0,28,37,0
40,5,278,11,15,2,11,0,4,1,0,0,36,37,0
12,6,2127,15,1,0,1,3,4,1,0,0,8,37,0
2,6,1881,15,1,4,7,1,2,1,0,0,1,37,0
21,3,1110,11,15,0,2,4,4,1,0,0,28,37,0
1,3,1591,1,13,4,5,3,4,1,0,0,1,37,0
20,5,2013,11,15,2,3,0,4,1,0,0,28,37,0
18,4,125,7,3,2,11,0,4,1,0,21,33,37,1
7,3,1747,9,4,4,9,1,4,0,0,0,28,37,0
5,3,201,9,4,4,1,3,4,0,0,0,20,37,0
25,3,1319,11,15,0,2,1,4,1,0,0,59,37,1
0,3,1644,0,12,4,7,3,4,1,0,0,8,37,0
6,3,881,9,4,4,3,1,4,1,0,0,28,37,0
12,3,169,15,1,2,3,0,4,1,0,0,28,37,0
3,3,1660,15,1,4,2,1,4,0,0,0,28,37,0
26,3,613,11,15,2,2,0,4,1,0,0,28,37,0
34,1,280,9,4,6,1,1,4,0,0,0,28,37,0
16,1,2280,14,6,2,9,5,4,0,0,0,28,37,1
35,3,1322,11,15,2,11,0,4,1,0,0,24,37,0
41,2,2411,6,11,2,13,0,4,1,0,0,28,37,0
22,3,1262,10,7,0,9,4,4,0,0,0,62,37,0
26,5,450,2,14,2,13,0,4,1,0,0,49,37,0
11,3,2129,9,4,2,9,5,2,0,0,0,28,5,0
22,3,1970,4,9,5,11,4,2,0,0,0,18,31,0
8,3,1005,12,5,4,9,1,4,1,0,0,18,37,0
17,3,2624,15,1,4,3,1,4,0,0,0,39,37,0
31,3,2181,15,1,0,13,1,4,1,33,0,42,37,0
32,3,1050,9,4,4,3,1,4,1,0,0,28,37,1
9,3,669,11,15,4,2,3,4,1,0,0,36,37,0
14,3,2441,9,4,4,12,1,4,1,0,0,28,37,0
24,3,127,11,15,4,1,3,4,1,0,0,28,37,0
16,5,2296,9,4,2,2,0,4,1,0,0,23,37,0
25,0,2059,12,5,2,0,0,4,1,0,0,39,37,0
12,3,743,11,15,3,1,3,4,0,0,0,28,37,0
41,3,353,4,9,0,6,1,2,1,0,0,28,37,0
6,6,2035,7,3,4,1,1,4,0,0,0,13,37,0
26,1,2785,7,3,2,9,5,2,0,0,0,28,37,0
41,6,386,11,15,3,7,4,2,0,0,0,28,15,0
20,3,913,9,4,4,11,1,4,1,0,0,33,37,0
45,3,1175,11,15,2,11,5,4,0,0,0,4,37,0
27,3,2653,11,15,0,1,4,4,0,0,0,28,37,0
0,3,2662,1,13,4,7,2,4,0,0,0,8,37,0
10,3,211,9,4,4,3,3,4,0,0,0,28,37,0
13,3,2645,8,2,2,9,0,4,1,0,0,28,37,0
9,3,299,9,4,4,9,1,1,1,0,0,4,23,0
11,3,323,0,12,6,1,4,4,0,0,35,23,37,0
29,2,1821,15,1,2,9,0,4,1,0,0,12,37,0
23,3,2617,12,5,2,3,0,4,1,0,0,34,37,1
19,3,1573,15,1,4,2,1,4,0,0,0,28,37,0
35,3,922,9,4,2,3,0,4,1,0,0,28,37,0
3,3,342,11,15,4,6,3,4,1,0,8,28,37,0
6,1,2367,7,3,4,3,4,4,0,0,0,20,37,0
17,2,223,11,15,0,10,4,4,1,0,0,28,30,0
36,3,1255,8,2,2,3,0,4,1,0,0,33,37,0
17,3,1144,9,4,2,3,0,4,1,0,0,39,37,1
30,3,2801,15,1,2,2,0,4,1,0,0,28,37,0
20,3,1552,11,15,2,6,0,4,1,0,0,28,37,0
22,3,412,9,4,2,1,0,1,1,0,0,28,28,1
26,3,1382,15,1,0,6,1,4,1,0,0,28,37,0
18,3,1404,9,4,2,3,0,4,1,0,0,28,37,1
22,3,978,9,4,2,9,5,4,0,57,0,8,37,1
7,3,587,15,1,4,11,3,4,0,0,0,28,37,0
1,3,2382,11,15,4,7,1,4,1,0,0,8,37,0
25,3,109,15,1,4,12,1,4,0,0,0,28,37,1
5,3,2192,15,1,2,1,5,4,0,0,0,28,37,0
14,3,1514,11,15,4,2,1,4,1,0,0,39,37,1
26,3,1630,15,1,2,1,0,4,1,48,0,28,37,0
20,3,2726,11,15,2,1,5,4,0,0,0,28,37,0
21,3,1950,8,2,2,2,0,4,1,56,0,28,37,1
26,3,1666,7,3,4,11,3,4,1,0,0,28,37,0
15,0,2580,9,4,0,0,4,4,0,0,0,28,37,0
12,5,2652,12,5,2,2,0,4,1,0,0,18,37,0
10,3,630,11,15,2,9,5,2,0,0,0,28,37,0
18,3,1337,11,15,2,1,5,4,0,42,0,23,37,1
18,3,752,11,15,3,7,4,2,0,0,0,8,37,0
49,3,813,15,1,6,11,4,4,0,0,0,39,37,1
15,5,2377,9,4,2,11,0,4,1,0,0,35,37,0
7,3,2588,11,15,4,2,3,4,1,0,0,28,8,0
2,3,1179,11,15,4,11,3,4,0,0,0,23,37,0
25,3,370,15,1,2,1,5,4,0,0,0,28,37,0
45,3,402,8,2,5,8,1,2,0,0,0,8,37,0
0,3,533,1,13,4,7,3,4,0,0,0,8,37,0
19,3,2057,15,1,2,2,0,4,1,0,0,28,37,1
16,3,796,11,15,2,7,0,2,1,0,0,23,37,0
40,5,20,12,5,2,9,0,4,1,0,0,28,37,1
1,3,596,1,13,4,11,3,4,0,0,0,18,37,0
14,3,567,11,15,2,2,0,4,1,0,0,31,37,1
16,3,864,9,4,2,4,0,4,1,0,0,28,9,0
28,3,1586,9,4,2,3,0,4,1,0,0,28,37,1
26,3,1078,9,4,2,7,0,4,1,0,0,28,37,0
5,3,2343,15,1,4,11,3,4,0,0,0,8,25,0
29,3,1743,12,5,2,9,0,4,1,0,24,39,37,1
10,3,2390,11,15,3,7,4,4,0,0,0,28,37,0
11,3,516,7,3,4,7,1,4,0,0,0,62,37,0
2,3,1376,15,1,4,7,3,4,0,0,0,3,37,0
10,3,2700,15,1,2,13,0,4,1,0,0,33,37,0
25,3,2064,8,2,2,6,0,4,1,20,0,28,37,0
21,1,2456,15,1,0,3,1,4,0,0,0,28,37,0
27,1,1995,11,15,0,2,1,4,1,0,0,28,37,0
30,3,176,15,1,4,1,1,4,0,0,0,28,37,0
21,3,686,9,4,2,11,0,4,1,0,0,32,37,0
12,3,724,11,15,4,13,3,4,1,0,0,28,37,0
11,3,1757,9,4,2,3,0,4,1,0,0,28,37,1
29,3,1084,8,2,4,3,3,4,0,0,0,28,37,0
